"","Sample","PVolume","Rep","OD","Moles","Date","Molepredict","ConcP"
"232","340",150,"DandC",0.974,NA,"3_29",63.3373699585436,0.000422249133056957
"241","340",50,"D",0.34,NA,"3_29",22.1095541949742,0.000442191083899483
"251","340",100,"D",0.673,NA,"3_29",43.7639116859341,0.000437639116859341
"261","340",150,"D",1.029,NA,"3_29",66.9139154900835,0.00044609276993389
"271","340",50,"4",0.257,NA,"3_29",16.7122218473775,0.000334244436947551
"281","340",100,"4",0.518,NA,"3_29",33.6845560970489,0.000336845560970489
"291","340",150,"4",0.765,NA,"3_29",49.7464969386919,0.000331643312924612
"93","1.7",10,"5T",0.239,NA,"4_1",22.2991963462565,0.00222991963462565
"103","1.7",20,"5T",0.575,NA,"4_1",53.6486941384832,0.00268243470692416
"113","1.7",40,"5T",1.394,NA,"4_1",130.063095007036,0.00325157737517589
"123","1.7",10,"DandC",0.182,NA,"4_1",16.9809779707895,0.00169809779707895
"133","1.7",20,"DandC",0.511,NA,"4_1",47.6773612256781,0.0023838680612839
"143","1.7",40,"DandC",0.957,NA,"4_1",89.2900874617885,0.00223225218654471
"153","1.7",10,"D",0.248,NA,"4_1",23.1389150371197,0.00231389150371197
"163","1.7",20,"D",0.49,NA,"4_1",45.7180176136639,0.0022859008806832
"173","1.7",40,"D",1.024,NA,"4_1",95.5413266048813,0.00238853316512203
"183","1.7",10,"4",0.222,NA,"4_1",20.7130610412926,0.00207130610412926
"193","1.7",20,"4",0.48,NA,"4_1",44.7849968460381,0.00223924984230191
"203","1.7",40,"4",0.836,NA,"4_1",78.0005361735164,0.00195001340433791
"213","340",50,"DandC",0.203,NA,"4_1",18.9403215828036,0.000378806431656073
"223","340",100,"DandC",0.453,NA,"4_1",42.2658407734485,0.000422658407734485
"233","340",150,"DandC",0.756,NA,"4_1",70.53637003251,0.0004702424668834
"242","340",50,"D",0.207,NA,"4_1",19.3135298898539,0.000386270597797079
"252","340",100,"D",0.477,NA,"4_1",44.5050906157504,0.000445050906157504
"262","340",150,"D",0.756,NA,"4_1",70.53637003251,0.0004702424668834
"272","340",50,"4",0.147,NA,"4_1",13.7154052840992,0.000274308105681984
"282","340",100,"4",0.377,NA,"4_1",35.1748829394924,0.000351748829394925
"292","340",150,"4",0.575,NA,"4_1",53.6486941384832,0.000357657960923221
"94","1.7",10,"5T",0.302,NA,"4_3",24.2363736418865,0.00242363736418865
"104","1.7",20,"5T",0.546,NA,"4_3",43.8180794982451,0.00219090397491225
"114","1.7",40,"5T",1.059,NA,"4_3",84.9878135323105,0.00212469533830776
"124","1.7",10,"DandC",0.159,NA,"4_3",12.7602099637747,0.00127602099637747
"134","1.7",20,"DandC",0.549,NA,"4_3",44.0588381768069,0.00220294190884034
"144","1.7",40,"DandC",1.133,NA,"4_3",90.9265276035012,0.00227316319008753
"154","1.7",10,"D",0.263,NA,"4_3",21.1065108205832,0.00211065108205833
"164","1.7",20,"D",0.523,NA,"4_3",41.9722629626047,0.00209861314813024
"174","1.7",40,"D",1.055,NA,"4_3",84.6668019608948,0.00211667004902237
"184","1.7",10,"4",0.292,NA,"4_3",23.4338447133472,0.00234338447133472
"194","1.7",20,"4",0.589,NA,"4_3",47.268953890964,0.0023634476945482
"204","1.7",40,"4",1.165,NA,"4_3",93.4946201748269,0.00233736550437067
"214","340",50,"DandC",0.243,NA,"4_3",19.5014529635047,0.000390029059270093
"224","340",100,"DandC",0.516,NA,"4_3",41.4104927126272,0.000414104927126272
"234","340",150,"DandC",0.79,NA,"4_3",63.3997853546037,0.000422665235697358
"243","340",50,"D",0.263,NA,"4_3",21.1065108205832,0.000422130216411665
"253","340",100,"D",0.487,NA,"4_3",39.0831588198633,0.000390831588198633
"263","340",150,"D",0.69,NA,"4_3",55.3744960692108,0.000369163307128072
"273","340",50,"4",0.202,NA,"4_3",16.2110843564936,0.000324221687129872
"283","340",100,"4",0.393,NA,"4_3",31.539386891594,0.00031539386891594
"293","340",150,"4",0.616,NA,"4_3",49.4357819980201,0.000329571879986801
"34","5",900,"1.7T",0.058,NA,"3_20",5.26002205172968,5.84446894636631e-06
"35","5",900,"DandC",0.056,NA,"3_20",5.07864198098038,5.64293553442265e-06
"36","5",900,"D",0.047,NA,"3_20",4.26243166260854,4.73603518067615e-06
"37","5",900,"4",0.022,NA,"3_20",1.99518077824229,2.21686753138033e-06
"284","5",900,"1.7T",0.014,NA,"3_22",1.10116996190822,1.22352217989802e-06
"294","5",900,"DandC",0.033,NA,"3_22",2.59561491021223,2.88401656690247e-06
"30","5",900,"D",0.019,NA,"3_22",1.49444494830401,1.66049438700445e-06
"31","5",900,"4",0.033,NA,"3_22",2.59561491021223,2.88401656690247e-06
"341","5",900,"1.7T",0.004,NA,"3_29",0.373320453148327,4.14800503498141e-07
"351","5",900,"DandC",0.012,NA,"3_29",1.11996135944498,1.24440151049442e-06
"361","5",900,"D",0.013,NA,"3_29",1.21329147273206,1.34810163636896e-06
"371","5",900,"4",0.011,NA,"3_29",1.0266312461579,1.14070138461989e-06
"342","5",900,"1.7T",0.003,NA,"4_1",0.277775380455108,3.08639311616786e-07
"352","5",900,"DandC",0,NA,"4_1",0,0
"362","5",900,"D",0.002,NA,"4_1",0.185183586970072,2.05759541077858e-07
"372","5",900,"4",0.005,NA,"4_1",0.46295896742518,5.14398852694644e-07
"343","5",900,"1.7T",0,NA,"4_3",0,0
"353","5",900,"DandC",0,NA,"4_3",0,0
"363","5",900,"D",0,NA,"4_3",0,0
"373","5",900,"4",0,NA,"4_3",0,0
