"","Sample","PVolume","Rep","OD","Moles","Date","Molepredict","ConcP"
"292","1.7",40,"1",1.079,NA,"3_6",79.9491071326081,0.0019987276783152
"302","1.7",40,"2",1.037,NA,"3_6",76.8370936946382,0.00192092734236596
"312","1.7",40,"3",1.001,NA,"3_6",74.1696536049497,0.00185424134012374
"322","1.7",40,"4",1.076,NA,"3_6",79.7268204584674,0.00199317051146169
"93","340",50,"1",0.237,NA,"3_8",19.0352728995899,0.000380705457991798
"103","340",50,"2",0.254,NA,"3_8",20.4006722215014,0.000408013444430028
"113","340",50,"3",0.258,NA,"3_8",20.7219426501864,0.000414438853003729
"123","340",50,"4",0.246,NA,"3_8",19.7581313641313,0.000395162627282625
"133","340",100,"1",0.526,NA,"3_8",42.2470613720855,0.000422470613720856
"143","340",100,"2",0.541,NA,"3_8",43.4518254796545,0.000434518254796545
"153","340",100,"3",0.498,NA,"3_8",39.9981683712901,0.000399981683712901
"163","340",100,"4",0.547,NA,"3_8",43.9337311226821,0.000439337311226821
"173","340",150,"1",0.816,NA,"3_8",65.5391674517525,0.000436927783011683
"183","340",150,"2",0.839,NA,"3_8",67.3864724166916,0.000449243149444611
"193","340",150,"3",0.814,NA,"3_8",65.3785322374099,0.000435856881582733
"203","340",150,"4",0.842,NA,"3_8",67.6274252382054,0.000450849501588036
"213","1.7",10,"1",0.245,NA,"3_8",19.67781375696,0.001967781375696
"223","1.7",10,"2",0.287,NA,"3_8",23.0511532581531,0.00230511532581531
"233","1.7",10,"3",0.268,NA,"3_8",21.5251187218991,0.00215251187218991
"243","1.7",10,"4",0.305,NA,"3_8",24.4968701872359,0.00244968701872359
"253","1.7",20,"1",0.598,NA,"3_8",48.0299290884166,0.00240149645442083
"263","1.7",20,"2",0.613,NA,"3_8",49.2346931959856,0.00246173465979928
"273","1.7",20,"3",0.558,NA,"3_8",44.817224801566,0.0022408612400783
"283","1.7",20,"4",0.565,NA,"3_8",45.3794480517649,0.00226897240258824
"293","1.7",40,"1",1.277,NA,"3_8",102.565584357706,0.00256413960894265
"303","1.7",40,"2",1.209,NA,"3_8",97.1039870700597,0.00242759967675149
"313","1.7",40,"3",1.21,NA,"3_8",97.184304677231,0.00242960761693078
"323","1.7",40,"4",1.335,NA,"3_8",107.224005573639,0.00268060013934098
"94","340",100,"1",0.239,NA,"3_13",21.089676952358,0.00021089676952358
"104","340",100,"2",0.219,NA,"3_13",19.3248504291481,0.000193248504291481
"114","340",100,"3",0.214,NA,"3_13",18.8836437983456,0.000188836437983456
"124","340",100,"4",0.225,NA,"3_13",19.8542983861111,0.000198542983861111
"134","340",150,"1",0.373,NA,"3_13",32.9140146578641,0.000219426764385761
"144","340",150,"2",0.343,NA,"3_13",30.2667748730493,0.000201778499153662
"154","340",150,"3",0.373,NA,"3_13",32.9140146578641,0.000219426764385761
"164","340",150,"4",0.369,NA,"3_13",32.5610493532222,0.000217073662354814
"174","1.7",20,"1",0.268,NA,"3_13",23.6486754110123,0.00118243377055062
"184","1.7",20,"2",0.285,NA,"3_13",25.1487779557407,0.00125743889778703
"194","1.7",20,"3",0.273,NA,"3_13",24.0898820418148,0.00120449410209074
"204","1.7",20,"4",0.291,NA,"3_13",25.6782259127036,0.00128391129563518
"214","1.7",40,"1",0.574,NA,"3_13",50.6505212161233,0.00126626303040308
"224","1.7",40,"2",0.618,NA,"3_13",54.5331395671851,0.00136332848917963
"234","1.7",40,"3",0.565,NA,"3_13",49.8563492806789,0.00124640873201697
"244","1.7",40,"4",0.693,NA,"3_13",61.1512390292221,0.00152878097573055
"95","340",50,"1",0.244,NA,"3_17",16.9083547745529,0.000338167095491057
"105","340",50,"2",0.289,NA,"3_17",20.0266988928106,0.000400533977856211
"115","340",50,"3",0.242,NA,"3_17",16.7697617026303,0.000335395234052606
"125","340",50,"4",0.31,NA,"3_17",21.4819261479975,0.00042963852295995
"135","340",100,"1",0.496,NA,"3_17",34.371081836796,0.00034371081836796
"145","340",100,"2",0.568,NA,"3_17",39.3604324260083,0.000393604324260083
"155","340",100,"3",0.548,NA,"3_17",37.9745017067827,0.000379745017067827
"165","340",100,"4",0.546,NA,"3_17",37.8359086348601,0.000378359086348601
"175","340",150,"1",0.714,NA,"3_17",49.4777266763555,0.000329851511175704
"185","340",150,"2",0.847,NA,"3_17",58.6941659592061,0.00039129443972804
"195","340",150,"3",0.818,NA,"3_17",56.6845664163289,0.000377897109442192
"205","340",150,"4",0.786,NA,"3_17",54.4670772655678,0.000363113848437119
"215","1.7",10,"1",0.416,NA,"3_17",28.8273589598934,0.00288273589598934
"225","1.7",10,"2",0.378,NA,"3_17",26.1940905933647,0.00261940905933647
"235","1.7",10,"3",0.381,NA,"3_17",26.4019802012485,0.00264019802012485
"245","1.7",10,"4",0.317,NA,"3_17",21.9670018997265,0.00219670018997265
"254","1.7",20,"1",0.699,NA,"3_17",48.4382786369363,0.00242191393184681
"264","1.7",20,"2",0.741,NA,"3_17",51.3487331473101,0.00256743665736551
"274","1.7",20,"3",0.67,NA,"3_17",46.4286790940591,0.00232143395470296
"284","1.7",20,"4",0.752,NA,"3_17",52.1109950428842,0.00260554975214421
"294","1.7",40,"1",1.431,NA,"3_17",99.1633429605949,0.00247908357401487
"304","1.7",40,"2",1.411,NA,"3_17",97.7774122413692,0.00244443530603423
"314","1.7",40,"3",1.382,NA,"3_17",95.7678126984921,0.0023941953174623
"324","1.7",40,"4",1.453,NA,"3_17",100.687866751743,0.00251719666879358
"96","1.7",10,"4",0.323,NA,"3_20",21.8914263983781,0.00218914263983781
"106","1.7",20,"4",0.746,NA,"3_20",50.560384189443,0.00252801920947215
"116","1.7",40,"4",1.404,NA,"3_20",95.1565407533217,0.00237891351883304
"126","340",50,"4",0.274,NA,"3_20",18.5704360159616,0.000371408720319233
"136","340",100,"4",0.577,NA,"3_20",39.1063561358024,0.000391063561358024
"146","340",150,"4",0.808,NA,"3_20",54.7624536529088,0.000365083024352725
"97","1.7",10,"4",0.377,NA,"3_22",22.4284635655811,0.00224284635655811
"107","1.7",20,"4",0.781,NA,"3_22",46.4632096676893,0.00232316048338446
"117","340",50,"4",0.188,NA,"3_22",11.1844858098919,0.000223689716197838
"127","340",100,"4",0.524,NA,"3_22",31.1737795977838,0.000311737795977838
"98","1.7",10,"4",0.379,NA,"3_29",24.6456501173388,0.00246456501173388
"108","1.7",20,"4",0.71,NA,"3_29",46.1699514071519,0.0023084975703576
"118","1.7",40,"4",1.417,NA,"3_29",92.1448185125835,0.00230362046281459
"128","340",50,"4",0.257,NA,"3_29",16.7122218473775,0.000334244436947551
"137","340",100,"4",0.518,NA,"3_29",33.6845560970489,0.000336845560970489
"147","340",150,"4",0.765,NA,"3_29",49.7464969386919,0.000331643312924612
"99","1.7",10,"4",0.222,NA,"4_1",20.7130610412926,0.00207130610412926
"109","1.7",20,"4",0.48,NA,"4_1",44.7849968460381,0.00223924984230191
"119","1.7",40,"4",0.836,NA,"4_1",78.0005361735164,0.00195001340433791
"129","340",50,"4",0.147,NA,"4_1",13.7154052840992,0.000274308105681984
"138","340",100,"4",0.377,NA,"4_1",35.1748829394924,0.000351748829394925
"148","340",150,"4",0.575,NA,"4_1",53.6486941384832,0.000357657960923221
"910","1.7",10,"4",0.292,NA,"4_3",23.4338447133472,0.00234338447133472
"1010","1.7",20,"4",0.589,NA,"4_3",47.268953890964,0.0023634476945482
"1110","1.7",40,"4",1.165,NA,"4_3",93.4946201748269,0.00233736550437067
"1210","340",50,"4",0.202,NA,"4_3",16.2110843564936,0.000324221687129872
"139","340",100,"4",0.393,NA,"4_3",31.539386891594,0.00031539386891594
"149","340",150,"4",0.616,NA,"4_3",49.4357819980201,0.000329571879986801
"37","5",900,"1",0.027,NA,"3_6",2.10579455662862,2.33977172958736e-06
"38","5",900,"2",0.083,NA,"3_6",6.47336845185835,7.19263161317595e-06
"39","5",900,"3",0.034,NA,"3_6",2.65174129353234,2.94637921503593e-06
"40","5",900,"4",0.058,NA,"3_6",4.52355867720222,5.02617630800247e-06
"371","5",900,"1",0.008,NA,"3_8",0.771491733349939,8.57213037055488e-07
"381","5",900,"2",0.008,NA,"3_8",0.771491733349939,8.57213037055488e-07
"391","5",900,"3",0.009,NA,"3_8",0.867928200018682,9.64364666687424e-07
"401","5",900,"4",0.007,NA,"3_8",0.675055266681197,7.50061407423552e-07
"295","5",900,"1",0.024,NA,"3_13",2.17962290063231,2.42180322292479e-06
"305","5",900,"2",0.029,NA,"3_13",2.63371100493071,2.92634556103413e-06
"315","5",900,"3",0.038,NA,"3_13",3.45106959266783,3.83452176963092e-06
"325","5",900,"4",0.025,NA,"3_13",2.27044052149199,2.52271169054666e-06
"5","5",900,"1",0.017,NA,"3_15",1.49101521397892,1.65668357108769e-06
"6","5",900,"2",0.017,NA,"3_15",1.49101521397892,1.65668357108769e-06
"7","5",900,"3",0.014,NA,"3_15",1.22789488210029,1.3643276467781e-06
"8","5",900,"4",0.015,NA,"3_15",1.31560165939317,1.46177962154796e-06
"372","5",900,"1",0.047,NA,"3_17",3.94571857609055,4.38413175121173e-06
"382","5",900,"2",0.034,NA,"3_17",2.85434960823572,3.17149956470636e-06
"392","5",900,"3",0.031,NA,"3_17",2.60249523103845,2.8916613678205e-06
"402","5",900,"4",0.029,NA,"3_17",2.43459231290694,2.7051025698966e-06
"196","5",900,"4",0.022,NA,"3_20",1.99518077824229,2.21686753138033e-06
"176","5",900,"4",0.033,NA,"3_22",2.59561491021223,2.88401656690247e-06
"197","5",900,"4",0.011,NA,"3_29",1.0266312461579,1.14070138461989e-06
"198","5",900,"4",0.005,NA,"4_1",0.46295896742518,5.14398852694644e-07
"199","5",900,"4",0.005,NA,"4_3",0.608530194643154,6.76144660714616e-07
